"Probe_ID","Gene","logFC","AveExpr","P.Value","adj.P.Val"
"8122279","KIAA1244",-1.93399569045443,9.22477588928539,9.23898071615224e-06,0.115031767632638
"8082643","NEK11",-1.64495068420885,6.94440607081266,9.32674011673819e-06,0.115031767632638
"8016444","HOXB3",-1.45965582213147,7.03837003989741,1.39518594431845e-05,0.115031767632638
"7933872","EGR2",2.14028701122292,6.38080735009352,1.49961233608913e-05,0.115031767632638
"8080847","C3orf14",-2.11072481913442,6.86269224854255,1.98786725904415e-05,0.115031767632638
"8082667","NUDT16",-1.00260324223934,6.49996462437123,2.22655598207886e-05,0.115031767632638
"8111019","DNAH5",-3.74212548354813,5.90981767383243,2.41830307063238e-05,0.115031767632638
"7901175","TSPAN1",-4.29502252060253,7.82109308147654,3.42385603052301e-05,0.142505167810406
"7893671",NA,-2.64174478555629,3.90988962273229,4.87223988249444e-05,0.180256634852686
"8060949","ANKEF1",-1.34342581819291,7.08530299577915,6.67842485841954e-05,0.222371512510795
"7910915","CHRM3",2.15321935586206,5.48440328952905,7.91978201019269e-05,0.239731801448533
"8065089","KIF16B",-1.10825509107649,8.8408680747207,0.000136380107879018,0.374721905422891
"8087547","MST1R",-2.02408162897338,6.9887308825619,0.000155092483899722,0.374721905422891
"8116402","MAPK9",-0.887998961020987,9.39521233678181,0.000158246755831759,0.374721905422891
"8114415","GFRA3",3.82696952275373,3.96312748275107,0.000170121324448546,0.374721905422891
"8033818","OLFM2",1.20210926690681,6.29072385964982,0.000180062783036497,0.374721905422891
"8149629","GFRA2",1.2261042151127,4.3071955785489,0.000235817495320109,0.449158207128993
"7960529","SCNN1A",-2.23460299873355,8.62928643308298,0.000255950260522648,0.449158207128993
"8009639","GPRC5C",-2.75874934021113,5.82250335760863,0.00026360360698383,0.449158207128993
"8081645","C3orf52",-1.53442997379067,7.35439565524704,0.000308327485006871,0.449158207128993
